sample_number,rheomix final deg time min,rheomix stability time min,rheomix resting torque Nm
1,80,56.1,1.3
3,235.4,128.2,3.7
4,85,24,8.5
5,150.5,37.1,1.2
6,26.5,23.7,7.8
7,56.2,54.2,4.2
8,73.5,57.9,5
9,34.1,31.3,3.2
10,20.2,8.5,3.1
11,74.5,19.1,7.6
12,128.5,37.8,3.8
13,209.2,29.4,4.2
14,346.9,118.1,3.6
15,20.1,17.5,7.7
16,17.6,13.7,7.5
17,32.8,22.7,1.3
18,47.2,26,8
19,182,31.7,4.7
20,248.3,89.1,2.2
21,87.9,62.7,4.7
22,60.1,40.5,7.8
23,23.2,13.8,8.7
24,100.9,62.2,0.5
25,67,20.9,5.5
26,90.6,25.1,4.5
27,12.6,11.2,2.5
28,21.1,18.9,-0.9
29,48.9,37.4,0
30,115.5,31.2,-1.9
31,56.1,30.8,3.3
32,20.9,14.1,6.4
33,60.7,46.3,7.8
34,78.5,18.9,8.7
36,44.3,40.8,6.5
37,82.2,15.4,5.7
38,20.9,19.2,6.2
39,66.2,18.9,8.3
40,82.4,79.8,0
41,146.8,141.4,2.9
43,75.8,74,5.2
44,39.9,22.7,5.6
45,34,17.5,4.4
46,89.4,19.2,2.3
47,30.5,15.7,6.2
49,57.2,32.9,2.3
50,69.7,57.1,1.6
