Run,Xpvc,Xfiller,Xfr,Xstabiliser,Xdinp,Xldh,Xsph
1,0.544196437,0.002048773,0.105274757,0.025172185,0.224461827,0.012149742,0.086696279
3,0.503134744,0.054516094,0.004792023,0.040197982,0.325809843,0.071379438,0.000169877
4,0.654985304,0.032717188,0.016817472,0.022283482,0.172048667,0.093236443,0.007911444
5,0.479267367,0.202675788,0.004697234,0.009785135,0.220603209,0.047459959,0.035511308
6,0.464116897,0.184886951,0.078718878,0.037739666,0.115727342,0.044162404,0.074647863
7,0.576006902,0.039917027,0.093605883,0.048959202,0.239723018,0.000773248,0.001014719
8,0.552083258,0.167472659,0.008626073,0.039268945,0.192504258,0.000404178,0.039640629
9,0.485253041,0.125937367,0.03842842,0.014634605,0.233560939,0.007516493,0.094669135
10,0.536225357,0.04022932,0.003633829,0.010905497,0.34583876,0.015162831,0.048004407
11,0.444437933,0.285849194,0.061779613,0.011582806,0.125635541,0.03733566,0.033379253
12,0.498037004,0.085821638,0.092234705,0.01057345,0.189693893,0.027063139,0.09657617
13,0.535873914,0.089213266,0.084549585,0.033731661,0.217855152,0.036178222,0.0025982
14,0.458666103,0.001530438,0.070822427,0.015485547,0.3153184,0.068625212,0.069551872
15,0.517433784,0.130978132,0.10340322,0.046371997,0.113046527,0.051138023,0.037628317
16,0.546286154,0.23631924,0.001177764,0.052837611,0.112589648,0.035963985,0.014825598
17,0.412734423,0.217619894,0.028905718,0.008295555,0.254197179,0.017587105,0.060660126
18,0.594539479,0.03065428,0.031819995,0.055016794,0.123362553,0.067945036,0.096661864
19,0.419359274,0.227090047,0.083023081,0.020047699,0.180559279,0.024045222,0.045875398
20,0.467823233,0.072675988,0.008222735,0.042819868,0.299093544,0.041383453,0.067981179
21,0.605443013,0.018812217,0.056275267,0.054018417,0.211441052,0.013868694,0.040141339
22,0.643497366,0.144292121,0.015501512,0.052052559,0.133709875,0.007895011,0.003051556
23,0.549420371,0.105183774,0.052093928,0.022028772,0.110491145,0.080862137,0.079919873
24,0.433054099,0.132247828,0.064150348,0.028456327,0.275214856,0.061235732,0.00564081
25,0.558412887,0.011568091,0.012890981,0.049906617,0.201690206,0.083552469,0.081978749
26,0.61747432,0.003667114,0.025648926,0.060932766,0.228579446,0.045194076,0.018503352
27,0.518623129,0.260684438,0.035743607,0.010464671,0.155150507,0.0012712,0.018062447
28,0.451534266,0.103750572,0.085094717,0.009368694,0.272918604,0.001063284,0.076269863
29,0.481133029,0.024312825,0.088771201,0.036510852,0.307269945,0.023580198,0.03842195
30,0.421228207,0.256998194,0.018632563,0.035005022,0.194980947,0.059131379,0.014023687
31,0.485085741,0.111692218,0.077286807,0.044965325,0.186600373,0.06433384,0.030035697
32,0.480709991,0.316531868,0.007492517,0.027315765,0.098156032,0.013501196,0.056292631
33,0.548682369,0.046621702,0.050067448,0.027095591,0.293953686,0.020384268,0.013194936
34,0.67250847,0.005946569,0.08241266,0.019150065,0.144864641,0.074414933,0.000702662
36,0.507053409,0.218448252,0.049541336,0.045245901,0.121157558,0.005696129,0.052857414
37,0.508177972,0.192182627,0.099869707,0.016586067,0.134776334,0.042605507,0.005801785
38,0.557058872,0.056432153,0.077793537,0.018765665,0.170910624,0.014026936,0.105012215
39,0.575557017,0.048146189,0.114190032,0.013228207,0.117615343,0.040414212,0.090848999
40,0.441083005,0.145196252,0.033594622,0.034003164,0.286963583,0.003271482,0.055887892
41,0.513895821,0.0277887,0.057029219,0.020881931,0.258883725,0.063242376,0.058278227
43,0.685515686,0.008737408,0.061243758,0.067962839,0.163081367,0.002851181,0.01060776
44,0.573136137,0.069679962,0.071262137,0.05624677,0.149048867,0.060043423,0.020582703
45,0.565644189,0.094202571,0.037637233,0.040583714,0.169563752,0.04242819,0.049940352
46,0.454488924,0.15467549,0.028210415,0.023306772,0.183406844,0.066721587,0.089189967
47,0.671001207,0.000329182,0.008868839,0.01439826,0.165297342,0.01952174,0.12058343
49,0.469681577,0.198490255,0.051986467,0.040698117,0.20662218,0.031613817,0.000907587
50,0.52743727,0.053531383,0.040141527,0.051625811,0.228281105,0.022162034,0.07682087
